pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-06-00	Supervised discretization of continuous-valued attributes for classification using RACER algorithm	Expert Systems with Applications		Elaheh Toulabinejad, Mohammad Mirsafaei, Alireza Basiri. (2024). "Supervised discretization of continuous-valued attributes for classification using RACER algorithm." <i>Expert Systems with Applications</i>.	paper-title-number-1	https://doi.org/10.1038/s41598-024-78304-7	
2024-11-00	 A deep learning model of dorsal and ventral visual streams for DVSD	Scientific Reports (Nature Publishing Group)		Masoumeh Zareh, Elaheh Toulabinejad, Mohammad Hossein Manshaei, Sayed Jalal Zahabi. (2024). "A deep learning model of dorsal and ventral visual streams for DVSD". <i>Scientific Reports (Nature Publishing Group)</i>	paper-title-number-2	https://doi.org/10.1038/s41598-024-78304-7	

